Female~Software / Tech~$500k-$750k~0%-25%~$10M-20M,1,0,0,0,0,0,0,0,0,0,0,0
Female~Travel~$0-$250k~0%-25%~$1M-$10M,1,1,200000.0,0.15,1333333.0,0,1,0,0,0,0,0,200000.0,0.1,2000000.0
Female~Uncertain / Other~$0-$250k~0%-25%~<$1M,1,0,0,0,0,0,0,0,0,0,0,0
Mixed Team~Automotive~$0-$250k~0%-25%~<$1M,1,1,100000.0,0.3,333333.0,0,1,0,0,1,0,0,100000.0,0.15,666667.0
Mixed Team~Business Services~$0-$250k~0%-25%~$1M-$10M,1,0,0,0,0,0,0,0,0,0,0,0
Mixed Team~Children / Education~$0-$250k~0%-25%~<$1M,5,2,175000.0,0.55,750000.0,0,1,1,0,1,0,0,175000.0,0.25,1416667.0
Mixed Team~Children / Education~$0-$250k~0%-25%~$1M-$10M,7,5,860000.0,1.1,3966667.0,0,1,1,0,1,2,1,810000.0,0.6,7200000.0
Mixed Team~Children / Education~$0-$250k~25%-50%~<$1M,2,0,0,0,0,0,0,0,0,0,0,0
Mixed Team~Children / Education~$250k-$500k~0%-25%~$1M-$10M,3,2,500000.0,0.33,4000000.0,0,1,0,0,0,0,0,500000.0,0.21,5833334.0
Mixed Team~Children / Education~$250k-$500k~0%-25%~$10M-20M,1,1,250000.0,0.03,7500000.0,0,0,0,0,0,0,0,250000.0,0.03,10000000.0
Mixed Team~Fashion / Beauty~$0-$250k~0%-25%~<$1M,7,2,200000.0,0.78,525252.0,0,0,1,0,0,1,0,200000.0,0.4,1000000.0
Mixed Team~Fashion / Beauty~$0-$250k~0%-25%~$1M-$10M,3,1,87500.0,0.1,875000.0,1,0,0,0,0,0,0,175000.0,0.1,1750000.0
Mixed Team~Fashion / Beauty~$0-$250k~25%-50%~<$1M,4,1,100000.0,0.55,181818.0,1,0,0,0,0,0,0,100000.0,0.3,333333.0
Mixed Team~Fashion / Beauty~$250k-$500k~0%-25%~$1M-$10M,2,0,0,0,0,0,0,0,0,0,0,0
Mixed Team~Fashion / Beauty~$250k-$500k~25%-50%~<$1M,1,1,250000.0,0.5,500000.0,0,0,1,0,0,0,0,250000.0,0.33,757576.0
Mixed Team~Fashion / Beauty~$500k-$750k~0%-25%~$1M-$10M,2,1,500000.0,0.3,1666667.0,0,1,0,0,0,0,0,500000.0,0.2,2500000.0
Mixed Team~Fashion / Beauty~$500k-$750k~0%-25%~$10M-20M,1,1,1200000.0,0.2,6000000.0,0,1,0,0,1,0,0,600000.0,0.05,12000000.0
Mixed Team~Fitness / Sports / Outdoors~$0-$250k~0%-25%~<$1M,1,0,0,0,0,0,0,0,0,0,0,0
